,name,duration,ratings,votes,user_review,Type,Episodes,start_year,end_year,genre1,genre2,rank
220,Fushigi Yûgi,23.0,7.8,1011,30,TV-14,65,1995,2002,Adventure,Drama,221
395,Kurage hime,22.0,7.8,945,4,TV-14,11,2010,2010,Comedy,Romance,396
280,Kagaku ninja tai Gatchaman,25.0,7.8,779,11,TV-PG,105,1972,1974,Action,Adventure,281
143,Fushigi no umi no Nadia,25.0,7.8,1891,17,TV-14,49,1990,2003,Action,Adventure,144
401,Sukippu bîto!,24.0,7.8,1535,3,TV-PG,25,2008,2009,Comedy,Drama,402
83,Suzumiya Haruhi no Yûutsu,24.0,7.8,8726,30,TV-14,14,2006,2009,Comedy,Fantasy,84
112,City Hunter,24.0,7.7,1473,4,TV-14,140,1987,1991,Action,Comedy,113
116,Kareshi kanojo no jijou,24.0,7.7,1603,17,TV-14,26,1998,1999,Comedy,Drama,117
303,Yowamushi pedaru,23.0,7.7,909,8,Not Rated,129,2013,2025,Comedy,Drama,304
58,Darker Than Black: Kuro no keiyakusha,24.0,7.7,12081,27,TV-MA,42,2007,2010,Action,Drama,59
335,Mahôjin guru guru,25.0,7.7,93,2,Not Rated,18,1994,1995,Comedy,Family,336
259,Sakurasou no Pet na Kanojo,24.0,7.7,4700,21,TV-14,24,2012,2013,Comedy,Drama,260
255,Junjou Romantica,24.0,7.7,1778,9,TV-MA,37,2008,2015,Comedy,Drama,256
164,Bishôjo senshi Sêrâ Mûn,30.0,7.7,6814,122,TV-PG,200,1992,1997,Action,Adventure,165
338,Furumûn wo sagashite,24.0,7.7,246,4,TV-PG,52,2002,2003,Comedy,Drama,339
351,Musekinin kanchô Tairâ,24.563796823713375,7.7,465,5,TV-14,26,1993,1996,Adventure,Comedy,352
352,Keroro gunsô,25.0,7.7,711,8,TV-Y7,356,2004,2011,Comedy,Family,353
82,Kuroshitsuji,24.0,7.7,8494,32,TV-14,43,2008,2011,Action,Comedy,83
139,D.Gray-man,30.0,7.7,4353,15,TV-14,104,2006,2008,Action,Adventure,140
403,Tokyo Ghoul,24.0,7.7,57067,120,TV-MA,12,2014,2014,Action,Drama,404
404,"No Game, No Life",23.0,7.7,16786,45,TV-14,12,2014,2014,Adventure,Comedy,405
135,Shigurui,24.0,7.7,2502,18,TV-MA,12,2007,2007,Action,Drama,136
251,Kidô keisatsu patorebâ,25.0,7.7,675,3,Not Rated,47,1989,1990,Action,Comedy,252
260,Aku no hana,24.0,7.6,1264,11,TV-MA,13,2013,2013,Drama,Thriller,261
271,Kemonozume,25.0,7.6,896,2,Not Rated,13,2006,2006,Action,Drama,272
458,Kikô sôseiki Mospeada,25.0,7.6,257,4,TV-PG,25,1983,1984,Action,Adventure,459
274,Seikai no monshô,26.0,7.6,513,6,TV-14,13,1999,1999,Action,Drama,275
275,Terra e...,26.0,7.6,292,1,TV-PG,24,2007,2007,Action,Drama,276
426,Hanamonogatari,25.0,7.6,1813,7,Not Rated,5,2014,2014,Comedy,Fantasy,427
425,Nisemonogatari,25.0,7.6,2856,7,TV-MA,11,2012,2012,Comedy,Drama,426
316,Afro Samurai,26.0,7.6,17321,47,TV-MA,5,2007,2007,Action,Adventure,317
317,Rôdosu-tô senki,25.0,7.6,2705,22,TV-14,13,1990,1991,Action,Adventure,318
326,Dejimon Teimâzu,30.0,7.6,2161,16,TV-Y7,51,2001,2002,Action,Adventure,327
344,Arison to Riria,24.0,7.6,83,1,Not Rated,26,2008,2008,Action,Adventure,345
417,Gekkan shôjo Nozaki-kun,23.0,7.6,3753,20,TV-PG,18,2014,2014,Comedy,Romance,418
373,Eyeshield 21,23.0,7.6,679,3,TV-PG,145,2005,2008,Comedy,Drama,374
392,Sarai-ya goyô,23.0,7.6,583,2,TV-14,12,2010,2025,Drama,History,393
394,Aku no hana,23.0,7.6,1264,11,TV-MA,13,2013,2013,Drama,Thriller,395
360,Hyper Police,24.0,7.6,116,4,Not Rated,25,1997,1997,Action,Comedy,361
244,Samurai 7,25.0,7.6,4247,21,TV-PG,26,2004,2004,Action,Adventure,245
150,Kimagure orenji rôdo,25.0,7.6,876,6,TV-PG,49,1985,1988,Comedy,Drama,151
109,Angel Beats!,25.0,7.6,15144,52,TV-14,16,2010,2010,Action,Comedy,110
148,Tenchi Muyô!,30.0,7.6,2159,41,TV-PG,71,1992,2025,Adventure,Comedy,149
146,Oniisama e...,25.0,7.6,252,6,Not Rated,39,1991,1992,Drama,Romance,147
142,Blood+,25.0,7.6,4676,24,TV-MA,50,2005,2006,Action,Adventure,143
137,Aoi Bungaku Series,22.0,7.6,1197,3,Not Rated,12,2009,2025,Drama,History,138
129,Full Metal Panic!,24.0,7.6,5690,33,TV-14,52,2002,2006,Action,Adventure,130
126,High School DxD,23.0,7.6,11750,101,TV-MA,65,2012,2018,Action,Comedy,127
122,Uchouten Kazoku,24.0,7.6,385,4,Not Rated,25,2013,2025,Comedy,Drama,123
113,Gôruden taimu,24.0,7.6,4044,23,TV-14,24,2013,2014,Comedy,Drama,114
155,Log Horizon,25.0,7.6,4443,24,TV-PG,62,2013,2025,Action,Adventure,156
110,Sakigake!! Cromartie Kôkô,24.41153823898858,7.6,845,9,TV-14,26,2003,2004,Comedy,,111
121,Shiki,24.0,7.6,3626,26,TV-MA,24,2010,2011,Drama,Horror,122
204,Kimi ga nozomu eien,25.0,7.6,977,9,TV-14,14,2003,2004,Drama,Romance,205
75,Ookiku furikabutte,25.0,7.6,283,2,TV-PG,39,2007,2010,Comedy,Drama,76
168,XXXHOLiC,25.0,7.6,1958,9,TV-PG,40,2006,2011,Comedy,Drama,169
169,Phantom: Requiem for the Phantom,25.0,7.6,1819,13,TV-MA,26,2009,2009,Action,Crime,170
165,Magic Knight Rayearth,20.0,7.6,957,15,TV-PG,49,1994,1995,Action,Adventure,166
386,Kidô Senkan Nadesico,25.0,7.5,500,9,TV-PG,26,1996,1997,Action,Comedy,387
272,Noein: Mô hitori no kimi he,25.0,7.5,1001,14,TV-PG,24,2005,2006,Action,Adventure,273
309,Kurenai Sanshiro,24.0,7.5,109,0,Not Rated,26,1969,1969,Action,Adventure,310
310,Street Fighter II: V,22.0,7.5,2368,23,TV-Y7,29,1995,1995,Action,Adventure,311
202,Anazâ,23.076923076923077,7.5,16261,52,TV-MA,13,2012,2012,Drama,Fantasy,203
246,The Big O,30.0,7.5,2185,15,TV-PG,26,1999,2003,Action,Adventure,247
247,R.O.D the TV,25.0,7.5,487,7,TV-PG,26,2003,2004,Action,Adventure,248
157,Beelzebub,25.0,7.5,2148,11,TV-MA,60,2011,2012,Action,Comedy,158
248,Heppoko jikken animêshon excel saga,25.0,7.5,1394,24,TV-14,26,1999,2001,Comedy,Drama,249
327,Gurêto Majingâ,30.0,7.5,457,2,Not Rated,56,1974,1975,Sci-Fi,Action,328
376,Arupusu no shôjo Haiji,24.0,7.5,5630,18,Not Rated,52,1974,1974,Adventure,Comedy,377
368,Urusei yatsura,23.0,7.5,1143,6,TV-PG,195,1981,1986,Action,Adventure,369
241,Poketto monsutâ,24.0,7.5,44660,237,TV-Y7,1250,1997,2023,Action,Adventure,242
200,Ef: A Tale of Melodies.,24.0,7.5,473,3,TV-MA,12,2008,2008,Drama,Mystery,201
167,Zetsuen No Tempest,25.0,7.5,1501,9,Not Rated,24,2012,2013,Action,Fantasy,168
384,To aru kagaku no rêrugan,24.0,7.5,1675,11,TV-14,76,2009,2025,Action,Comedy,385
348,Genshiken,25.0,7.5,744,4,PG-13,27,2004,2007,Comedy,,349
73,Mirai nikki,25.0,7.5,18395,79,TV-MA,27,2011,2013,Action,Drama,74
68,Kanon,22.0,7.5,1583,10,TV-14,24,2006,2007,Comedy,Drama,69
87,Sword Art Online,24.0,7.5,47989,200,TV-14,100,2012,2025,Action,Adventure,88
81,Ef: A Tale of Melodies.,24.0,7.5,473,3,TV-MA,12,2008,2008,Drama,Mystery,82
190,Hataraku Maou-sama!,24.0,7.5,7801,30,TV-14,26,2013,2025,Action,Comedy,191
437,Ao Haru Ride,24.641206162373408,7.5,5488,18,Not Rated,14,2014,2014,Comedy,Drama,438
461,Ekkusu,24.0,7.5,1745,14,Not Rated,24,2001,2002,Action,Drama,462
216,Denei Shoujo Ai,24.857142857142858,7.5,706,8,Not Rated,7,1992,1992,Comedy,Drama,217
409,World Trigger,24.0,7.5,925,12,TV-14,99,2014,2025,Action,Sci-Fi,410
138,Higashi no Eden,23.0,7.5,3877,11,TV-MA,11,2009,2009,Action,Comedy,139
141,Sureiyâzu,25.0,7.5,2304,30,TV-PG,114,1995,2009,Action,Adventure,142
393,Michiko to Hatchin,23.0,7.5,1090,12,TV-MA,22,2008,2025,Action,Adventure,394
297,Golgo 13,25.0,7.4,487,1,TV-MA,50,2008,2009,Action,Adventure,298
288,Nurarihyon no mago,24.49981517386976,7.4,787,4,TV-14,54,2010,2014,Action,Comedy,289
319,Saber Marionette J,30.0,7.4,342,7,Not Rated,25,1996,1997,Action,Romance,320
324,Astro Boy,30.0,7.4,971,18,TV-Y7,106,1963,1965,Action,Adventure,325
477,Chuunibyou demo koi ga shitai!,25.0,7.4,4370,29,TV-PG,26,2012,2025,Comedy,Drama,478
331,Yawara!,25.0,7.4,122,2,Not Rated,37,1989,1992,Action,Comedy,332
485,Owari No Seraph,24.0,7.4,5923,37,TV-14,25,2015,2015,Action,Adventure,486
388,Andersen monogatari,25.0,7.4,29,0,Not Rated,0,1971,1971,Fantasy,,389
346,Fantastic Children,24.0,7.4,225,2,Not Rated,26,2004,2005,Adventure,Fantasy,347
163,Jigoku shôjo,22.0,7.4,1859,11,TV-MA,27,2005,2006,Drama,Fantasy,164
159,Nagi no Asukara,23.0,7.4,1276,10,TV-PG,26,2013,2014,Drama,Fantasy,160
111,Ao no ekusoshisuto,30.0,7.4,13953,32,TV-14,26,2011,2011,Action,Drama,112
424,Nekomonogatari (Kuro),24.0,7.4,2351,5,TV-MA,4,2012,2012,Comedy,Drama,425
124,Free!,24.0,7.4,3317,9,TV-PG,42,2013,2025,Comedy,Drama,125
153,Yamato nadeshiko shichihenge,25.0,7.4,1093,6,TV-14,25,2006,2007,Comedy,Drama,154
128,Raki suta: Lucky Star,25.0,7.4,2312,15,TV-PG,25,2007,2008,Comedy,Family,129
379,Hyakujû-ô Goraion,23.0,7.4,182,4,TV-14,52,1981,1982,Action,Adventure,380
134,Ghost Hunt,25.0,7.4,1543,14,TV-14,25,2006,2025,Comedy,Drama,135
140,Ayakashi,25.0,7.4,613,7,Not Rated,11,2006,2025,Fantasy,Horror,141
281,Saibôgu 009,24.456218112090358,7.4,506,4,TV-14,51,2001,2002,Action,Adventure,282
207,Gettobakkâzu dakkanya,24.0,7.4,1027,9,TV-PG,49,2002,2003,Action,Adventure,208
242,Tenisu no ôjisama,22.0,7.4,855,7,TV-PG,178,2001,2005,Action,Comedy,243
